"Rep","Cov_sp_near","Cov_sp_med","Cov_sp_far","Cov_sp_all","Width_sp_near","Width_sp_med","Width_sp_far","Width_sp_all","Cov_unw_near","Cov_unw_med","Cov_unw_far","Cov_unw_all","Width_unw_all","Cov_kr_near","Cov_kr_med","Cov_kr_far","Cov_kr_all","Width_kr_all"
59,0.906095551894563,0.907442748091603,0.903361344537815,0.9064,0.136859963495698,0.136835994815071,0.136801954134208,0.136844393333565,0.906095551894563,0.927480916030534,0.886554621848739,0.9132,0.13904504519991,0.971993410214168,0.980916030534351,0.974789915966387,0.976,0.12750054129127
60,0.957166392092257,0.938931297709924,0.949579831932773,0.9488,0.155178110466176,0.154742361506405,0.154693346108818,0.15494929493542,0.949752883031301,0.932251908396947,0.915966386554622,0.9392,0.143955817461045,0.951400329489292,0.950381679389313,0.953781512605042,0.9512,0.10739293705243
61,0.943163097199341,0.925572519083969,0.92436974789916,0.934,0.173372111775927,0.173175278402143,0.172391121027794,0.173196208906415,0.930807248764415,0.912213740458015,0.920168067226891,0.922,0.173532673847737,0.990115321252059,0.994274809160305,0.991596638655462,0.992,0.169800477314019
62,0.941515650741351,0.933206106870229,0.92436974789916,0.9364,0.160927979856419,0.161271250613403,0.161211395743092,0.161098860150158,0.946457990115321,0.937977099236641,0.928571428571429,0.9412,0.144839998164156,0.961285008237232,0.966603053435115,0.966386554621849,0.964,0.116975133160149
63,0.92833607907743,0.907442748091603,0.911764705882353,0.918,0.154002446612295,0.154100506658333,0.154258263823452,0.154067907182096,0.919275123558484,0.888358778625954,0.857142857142857,0.9004,0.140639721774617,0.976935749588138,0.974236641221374,0.970588235294118,0.9752,0.128152346699667
64,0.938220757825371,0.923664122137405,0.92436974789916,0.9308,0.158932793846582,0.158996730220904,0.158859063572222,0.158952576852579,0.9332784184514,0.92175572519084,0.899159663865546,0.9252,0.134954634060323,0.981878088962109,0.985687022900763,0.987394957983193,0.984,0.141554051598683
65,0.945634266886326,0.947519083969466,0.96218487394958,0.948,0.177856250444685,0.177883401041798,0.177904523104415,0.177872227532201,0.949752883031301,0.925572519083969,0.945378151260504,0.9392,0.158538311348376,0.987644151565074,0.99236641221374,0.991596638655462,0.99,0.155103138335124
66,0.911037891268534,0.915076335877863,0.894957983193277,0.9112,0.138799283474936,0.138801078366612,0.138753200807678,0.138795648823603,0.906095551894563,0.88263358778626,0.831932773109244,0.8892,0.121402958615055,0.961285008237232,0.950381679389313,0.953781512605042,0.956,0.111345819766689
67,0.940691927512356,0.939885496183206,0.92436974789916,0.9388,0.169609153021661,0.169647968351083,0.169600226803475,0.169624574631783,0.939044481054366,0.932251908396947,0.932773109243697,0.9356,0.146657905600262,0.953047775947282,0.95324427480916,0.945378151260504,0.9524,0.106813897948441
68,0.913509060955519,0.909351145038168,0.953781512605042,0.9156,0.150761640182893,0.15069656384277,0.150392239476372,0.150699193233852,0.866556836902801,0.862595419847328,0.894957983193277,0.8676,0.126915564002678,0.995881383855025,0.994274809160305,0.991596638655462,0.9948,0.163471289907459
69,0.945634266886326,0.938931297709924,0.941176470588235,0.9424,0.171123531710432,0.170982580294742,0.170614072151956,0.171015944327008,0.957990115321252,0.954198473282443,0.941176470588235,0.9548,0.165977907271047,0.968698517298188,0.973282442748092,0.974789915966387,0.9712,0.125264060982281
70,0.920922570016474,0.925572519083969,0.903361344537815,0.9212,0.163455428712402,0.163363652770876,0.163060060947318,0.163379317226478,0.92339373970346,0.92175572519084,0.899159663865546,0.9204,0.162253720092763,0.967874794069193,0.981870229007634,0.974789915966387,0.9744,0.126921823638774
71,0.897034596375618,0.879770992366412,0.831932773109244,0.8836,0.138805794066295,0.138934103943449,0.13901526857255,0.138879523539794,0.947281713344316,0.940839694656489,0.941176470588235,0.944,0.158994045667674,0.961285008237232,0.96087786259542,0.928571428571429,0.958,0.120092730787456
72,0.929159802306425,0.912213740458015,0.907563025210084,0.92,0.141745514469699,0.141867862463692,0.141897684271869,0.141811289313948,0.962932454695222,0.96469465648855,0.966386554621849,0.964,0.164887370416458,0.943163097199341,0.955152671755725,0.936974789915966,0.9476,0.111246762766569
73,0.92504118616145,0.915076335877863,0.920168067226891,0.9204,0.147189783185451,0.147273852004897,0.147392673974003,0.147244340037633,0.892092257001647,0.879770992366412,0.84453781512605,0.8824,0.114017517498993,0.943986820428336,0.949427480916031,0.936974789915966,0.9456,0.105878522075068
74,0.948105436573311,0.934160305343511,0.949579831932773,0.9424,0.170133081138031,0.170343449967692,0.170406180344384,0.17024726679587,0.879736408566722,0.875954198473282,0.920168067226891,0.882,0.129437644598425,0.99505766062603,0.997137404580153,0.995798319327731,0.996,0.156981234652178
75,0.936573311367381,0.915076335877863,0.911764705882353,0.9252,0.160721760504072,0.161141928730438,0.16141024210382,0.160963438472861,0.927512355848435,0.923664122137405,0.920168067226891,0.9252,0.140418813101466,0.939044481054366,0.935114503816794,0.907563025210084,0.9344,0.108282442829951
76,0.92339373970346,0.896946564885496,0.882352941176471,0.9084,0.139616721975342,0.13972551840322,0.139541668778457,0.139655184373565,0.919275123558484,0.909351145038168,0.894957983193277,0.9128,0.130262352389362,0.981054365733114,0.979961832061069,0.974789915966387,0.98,0.143075360777786
77,0.92504118616145,0.91412213740458,0.894957983193277,0.9176,0.167902569678862,0.168124303074975,0.167666615737486,0.167973057503293,0.915980230642504,0.886450381679389,0.894957983193277,0.9016,0.157574116394414,0.985172981878089,0.991412213740458,0.987394957983193,0.988,0.139505725393306
78,0.954695222405272,0.946564885496183,0.932773109243697,0.9492,0.190761071849988,0.190704584987801,0.190947125172721,0.190755104833684,0.965403624382208,0.967557251908397,0.945378151260504,0.9644,0.194818405764855,0.976112026359143,0.974236641221374,0.987394957983193,0.9764,0.132269347670871
79,0.939868204283361,0.938931297709924,0.907563025210084,0.9364,0.175333414277881,0.175333999406723,0.17509220706288,0.175310696637023,0.874794069192751,0.866412213740458,0.848739495798319,0.8688,0.117381462753708,0.984349258649094,0.982824427480916,0.991596638655462,0.9844,0.13420234055386
80,0.962108731466227,0.961832061068702,0.974789915966387,0.9632,0.192679268011921,0.192290620886118,0.192395578725223,0.192489339916691,0.945634266886326,0.933206106870229,0.928571428571429,0.9388,0.151846306046065,0.990939044481054,0.994274809160305,0.987394957983193,0.992,0.150507068844707
81,0.9332784184514,0.925572519083969,0.911764705882353,0.928,0.173542475738146,0.173647933431223,0.17359979644185,0.173592140534077,0.897034596375618,0.887404580152672,0.886554621848739,0.892,0.1346405384874,0.951400329489292,0.96087786259542,0.949579831932773,0.9552,0.114264149465581
82,0.939044481054366,0.922709923664122,0.890756302521008,0.9276,0.144743527640879,0.144980584780029,0.145291156759994,0.14489503628575,0.93492586490939,0.926526717557252,0.92436974789916,0.9304,0.149679576475923,0.974464579901153,0.978053435114504,0.970588235294118,0.9756,0.127534451633185
83,0.953871499176277,0.942748091603053,0.936974789915966,0.9476,0.182458873439916,0.182293047584834,0.182610776920174,0.182403820452786,0.922570016474465,0.911259541984733,0.878151260504202,0.9136,0.153595800833162,0.981878088962109,0.987595419847328,0.974789915966387,0.9836,0.138268627412002
84,0.93492586490939,0.938931297709924,0.915966386554622,0.9348,0.151955927731362,0.15216112403448,0.15224490803779,0.152069456946801,0.957990115321252,0.931297709923664,0.915966386554622,0.9428,0.173853693185881,0.971993410214168,0.974236641221374,0.966386554621849,0.9724,0.128330075142329
85,0.925864909390445,0.879770992366412,0.831932773109244,0.8976,0.172322397050098,0.172389851347066,0.172187158871881,0.172337799216821,0.967051070840198,0.958015267175573,0.953781512605042,0.962,0.19490859061351,0.978583196046129,0.965648854961832,0.945378151260504,0.97,0.196331212191073
86,0.906095551894563,0.904580152671756,0.903361344537815,0.9052,0.134120164828434,0.13434325570168,0.133937184708973,0.134196264815126,0.915980230642504,0.904580152671756,0.894957983193277,0.9092,0.127869549198009,0.9332784184514,0.940839694656489,0.932773109243697,0.9364,0.103078002400445
